day,date,position,shares_L,shares_O,z_score,price_L,price_O
295,Y1-M02-D19,0,0,0,-0.19900314972672337,225.62,30.54
296,Y1-M02-D22,0,0,0,-0.31293669508026234,223.86,30.99
297,Y1-M02-D23,0,0,0,-0.3076412439682711,228.31,31.58
298,Y1-M02-D24,0,0,0,-0.2935294236169778,228.14,31.47
299,Y1-M02-D25,0,0,0,-0.42621565304750253,219.34,31.05
300,Y1-M02-D26,0,0,0,-0.47250875653103536,216.96,31.0
301,Y1-M02-D29,0,0,0,-0.5309258902597751,219.27,31.68
302,Y1-M03-D01,0,0,0,-0.6874012448447734,218.44,32.52
303,Y1-M03-D02,0,0,0,-0.8525710380185987,212.94,32.76
304,Y1-M03-D03,0,0,0,-0.9888091224674495,208.99,33.04
305,Y1-M03-D04,1,193,-1379,-1.1406023130199971,206.72,33.65
306,Y1-M03-D07,1,193,-1379,-1.1260044076251385,199.85,32.6
307,Y1-M03-D08,1,193,-1379,-1.103676173294116,201.04,32.63
308,Y1-M03-D09,1,193,-1379,-1.0084834643997056,195.26,31.24
309,Y1-M03-D10,1,193,-1379,-1.0139080878174735,194.88,31.22
310,Y1-M03-D11,1,193,-1379,-1.0664156645755167,192.3,31.18
311,Y1-M03-D14,1,193,-1379,-1.1715160543978704,193.5,31.99
312,Y1-M03-D15,1,193,-1379,-1.2627835419557571,185.58,31.44
313,Y1-M03-D16,1,193,-1379,-1.1687055072742258,185.4,30.84
314,Y1-M03-D17,1,193,-1379,-1.253503298706488,187.63,31.67
315,Y1-M03-D18,1,193,-1379,-1.3519467334987982,193.84,33.14
316,Y1-M03-D21,1,193,-1379,-1.2846666588384958,200.14,33.61
317,Y1-M03-D22,1,193,-1379,-1.20301526772471,196.7,32.63
318,Y1-M03-D23,1,193,-1379,-1.1417077753077722,200.88,32.84
319,Y1-M03-D24,1,193,-1379,-0.9411239108863257,202.35,31.82
320,Y1-M03-D25,1,193,-1379,-0.9006348873034234,206.55,32.16
321,Y1-M03-D28,1,193,-1379,-0.8337724476723042,205.61,31.62
322,Y1-M03-D29,1,193,-1379,-0.8743432530895592,203.48,31.57
323,Y1-M03-D30,1,193,-1379,-0.6338110822555043,212.63,31.38
324,Y1-M03-D31,1,193,-1379,-0.6798752938163868,210.26,31.33
325,Y1-M04-D01,1,193,-1379,-0.5894843766236231,212.35,31.07
326,Y1-M04-D04,1,193,-1379,-0.6028525860989601,212.91,31.23
327,Y1-M04-D05,1,193,-1379,-0.6075989268947161,208.77,30.68
328,Y1-M04-D06,1,193,-1379,-0.47101347434465624,207.73,29.7
329,Y1-M04-D07,1,193,-1379,-0.5115154970360511,205.46,29.63
330,Y1-M04-D08,1,193,-1379,-0.2956207205233294,210.03,28.95
331,Y1-M04-D11,1,193,-1379,-0.22563442431880856,209.87,28.5
332,Y1-M04-D12,1,193,-1379,-0.401234677808351,209.42,29.51
333,Y1-M04-D13,1,193,-1379,-0.24421597036030823,217.71,29.71
334,Y1-M04-D14,1,193,-1379,-0.31757640731531683,215.22,29.81
335,Y1-M04-D15,1,193,-1379,-0.29244108033256316,212.6,29.29
336,Y1-M04-D18,1,193,-1379,-0.28393044617623764,218.12,30.01
337,Y1-M04-D19,1,193,-1379,-0.09835372903289198,223.01,29.56
338,Y1-M04-D20,1,193,-1379,-0.17750524678003843,220.41,29.68
339,Y1-M04-D21,1,193,-1379,-0.25149081843244503,212.53,29.03
340,Y1-M04-D22,1,193,-1379,-0.07362418946146539,212.65,27.96
341,Y1-M04-D25,1,193,-1379,-0.03640498104962415,212.56,27.72
342,Y1-M04-D26,1,193,-1379,-0.023951187774254097,210.53,27.36
343,Y1-M04-D27,1,193,-1379,-0.12251573443787578,210.8,28.0
344,Y1-M04-D28,1,193,-1379,-0.16600519974159209,208.9,28.0
345,Y1-M04-D29,1,193,-1379,-0.25870873139657846,207.71,28.4
346,Y1-M05-D02,1,193,-1379,-0.17982395140692767,214.66,28.89
347,Y1-M05-D03,1,193,-1379,-0.16336397373984313,212.09,28.43
348,Y1-M05-D04,1,193,-1379,-0.22234930705797754,209.37,28.41
349,Y1-M05-D05,1,193,-1379,-0.2513616461266689,208.46,28.46
350,Y1-M05-D06,1,193,-1379,-0.21224021662648412,205.45,27.8
351,Y1-M05-D09,1,193,-1379,-0.32294212535528205,198.54,27.51
352,Y1-M05-D10,1,193,-1379,-0.30384207317708595,200.59,27.68
353,Y1-M05-D11,1,193,-1379,-0.23332081725546186,204.1,27.74
354,Y1-M05-D12,1,193,-1379,-0.22503677204051187,206.75,28.06
355,Y1-M05-D13,1,193,-1379,-0.15327973003469908,210.6,28.16
356,Y1-M05-D16,1,193,-1379,-0.1854977075111447,210.98,28.41
357,Y1-M05-D17,1,193,-1379,-0.26617314135440956,210.53,28.84
358,Y1-M05-D18,1,193,-1379,-0.014138287789157104,219.11,28.5
359,Y1-M05-D19,0,0,0,0.06935263185178028,219.54,28.05
360,Y1-M05-D20,0,0,0,0.09624915999924656,218.57,27.75
361,Y1-M05-D23,0,0,0,0.21322823456374765,218.89,27.08
362,Y1-M05-D24,0,0,0,-0.012725938927768802,213.38,27.69
363,Y1-M05-D25,0,0,0,-0.08592856966726126,213.9,28.21
364,Y1-M05-D26,0,0,0,0.019215756154602477,214.99,27.72
365,Y1-M05-D27,0,0,0,0.13577983138267177,219.01,27.57
366,Y1-M05-D30,0,0,0,0.170331815575776,219.59,27.44
367,Y1-M05-D31,0,0,0,-0.06407951143597664,213.21,27.98
368,Y1-M06-D01,0,0,0,0.2142660656163008,223.44,27.71
369,Y1-M06-D02,0,0,0,0.32591184323396655,223.67,27.06
370,Y1-M06-D03,0,0,0,0.22618489917456824,217.74,26.84
371,Y1-M06-D06,0,0,0,0.26319660791819327,219.5,26.86
372,Y1-M06-D07,0,0,0,0.35719055778409575,224.25,26.95
